@relation Concrete_Data

@attribute CementQuantity real
@attribute BlastFurnaceSlagQuant real
@attribute FlyAshQuant real
@attribute WaterAmount real
@attribute SuperplasticizerAmount real
@attribute CoarseAggregateQuant real
@attribute FineAggregateQuant real
@attribute Age real
@attribute ConcreteCompressiveStrength real

@data
54000000.0,0.0,0.0,16200000.0,250000.0,104000000.0,67600000.0,28,799900000000.00
54000000.0,0.0,0.0,16200000.0,250000.0,105500000.0,67600000.0,28,618900000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,270,402700000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,365,410500000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,360,443000000000.00
26600000.0,11400000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,90,470300000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,365,437000000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,28,364500000000.00
26600000.0,11400000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,28,458500000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,28,392900000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,90,380700000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,28,280200000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,270,430100000000.00
19000000.0,19000000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,90,423300000000.00
30400000.0,7600000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,28,478100000000.00
38000000.0,0.0,0.0,22800000.0,0.0,93200000.0,67000000.0,90,529100000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,90,393600000000.00
34200000.0,3800000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,365,561400000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,90,405600000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,180,426200000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,180,418400000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,28,282400000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,3,80600000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,180,442100000000.00
38000000.0,0.0,0.0,22800000.0,0.0,93200000.0,67000000.0,365,525200000000.00
38000000.0,0.0,0.0,22800000.0,0.0,93200000.0,67000000.0,270,533000000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,270,411500000000.00
34200000.0,3800000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,180,521200000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,28,374300000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,7,386000000000.00
30400000.0,7600000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,365,552600000000.00
26600000.0,11400000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,365,529100000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,180,417200000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,270,421300000000.00
19000000.0,19000000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,365,536900000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,270,384100000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,28,300800000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,90,377200000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,90,422300000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,180,362500000000.00
34200000.0,3800000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,90,504600000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,365,437000000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,365,390000000000.00
38000000.0,0.0,0.0,22800000.0,0.0,93200000.0,67000000.0,180,531000000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,90,415400000000.00
42750000.0,4750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,7,350800000000.00
34900000.0,0.0,0.0,19200000.0,0.0,104700000.0,80690000.0,3,150500000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,180,407600000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,7,262600000000.00
38000000.0,9500000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,7,328200000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,180,397800000000.00
19000000.0,19000000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,180,469300000000.00
23750000.0,23750000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,90,331200000000.00
30400000.0,7600000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,90,491900000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,7,145900000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,7,146400000000.00
47500000.0,0.0,0.0,22800000.0,0.0,93200000.0,59400000.0,365,419300000000.00
19860000.0,13240000.0,0.0,19200000.0,0.0,97840000.0,82550000.0,3,91300000000.00
30400000.0,7600000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,180,509500000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,28,330200000000.00
30400000.0,7600000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,270,543800000000.00
26600000.0,11400000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,270,517300000000.00
31000000.0,0.0,0.0,19200000.0,0.0,97100000.0,85060000.0,3,98700000000.00
19000000.0,19000000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,270,506600000000.00
26600000.0,11400000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,180,487000000000.00
34200000.0,3800000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,270,550600000000.00
13960000.0,20940000.0,0.0,19200000.0,0.0,104700000.0,80690000.0,360,447000000000.00
33250000.0,14250000.0,0.0,22800000.0,0.0,93200000.0,59400000.0,7,302800000000.00
19000000.0,19000000.0,0.0,22800000.0,0.0,93200000.0,67000000.0,28,408600000000.00
48500000.0,0.0,0.0,14600000.0,0.0,112000000.0,80000000.0,28,719900000000.00
37400000.0,18920000.0,0.0,17010000.0,1010000.0,92610000.0,75670000.0,3,344000000000.00
31330000.0,26220000.0,0.0,17550000.0,860000.0,104690000.0,61180000.0,3,288000000000.00
42500000.0,10630000.0,0.0,15350000.0,1650000.0,85210000.0,88710000.0,3,334000000000.00
42500000.0,10630000.0,0.0,15140000.0,1860000.0,93600000.0,80370000.0,3,363000000000.00
37500000.0,9380000.0,0.0,12660000.0,2340000.0,85210000.0,99260000.0,3,290000000000.00
47500000.0,11880000.0,0.0,18110000.0,890000.0,85210000.0,78150000.0,3,378000000000.00
46900000.0,11720000.0,0.0,13780000.0,3220000.0,85210000.0,84050000.0,3,402000000000.00
42500000.0,10630000.0,0.0,15350000.0,1650000.0,85210000.0,88710000.0,3,334000000000.00
38860000.0,9710000.0,0.0,15790000.0,1210000.0,85210000.0,92570000.0,3,281000000000.00
53130000.0,0.0,0.0,14180000.0,2820000.0,85210000.0,89370000.0,3,413000000000.00
42500000.0,10630000.0,0.0,15350000.0,1650000.0,85210000.0,88710000.0,3,334000000000.00
31880000.0,21250000.0,0.0,15570000.0,1430000.0,85210000.0,88040000.0,3,252000000000.00
40180000.0,9470000.0,0.0,14740000.0,1140000.0,94680000.0,85210000.0,3,411000000000.00
36260000.0,18900000.0,0.0,16490000.0,1160000.0,94470000.0,75580000.0,3,353000000000.00
32370000.0,28280000.0,0.0,18380000.0,1030000.0,94270000.0,65990000.0,3,283000000000.00
37950000.0,15120000.0,0.0,15390000.0,1590000.0,113430000.0,60500000.0,3,286000000000.00
